,time,X-axis,Y-axis,X-velocity,Y-velocity,angle,angular_velocity,wind_speed,main_engine_power,left_right_engine_power
136,2016-04-08 00:02:16,-0.16887665,0.20006433,0.64731586,-0.20450382,-0.10763016,0.056331336,7.023206,1.0,-0.37449145
137,2016-04-08 00:02:17,-0.16218643,0.19585477,0.66594183,-0.18687199,-0.10456684,0.061266385,6.8689895,1.0,-0.39932233
138,2016-04-08 00:02:18,-0.15546198,0.19216634,0.6698554,-0.16374786,-0.1019915,0.051507063,6.70698,0.94008327,-0.4886077
139,2016-04-08 00:02:19,-0.1485755,0.18919824,0.6859964,-0.13173583,-0.0993629,0.05257204,6.5370784,0.8856306,-0.53515065
140,2016-04-08 00:02:20,-0.14165106,0.18669921,0.6888635,-0.11083761,-0.0958222,0.070814125,6.3592205,0.90572274,-0.4323591
141,2016-04-08 00:02:21,-0.13473597,0.18509224,0.688692,-0.07124339,-0.093026474,0.055914532,6.1733847,0.7637011,-0.549199
142,2016-04-08 00:02:22,-0.12769957,0.18357176,0.69954073,-0.06732864,-0.0889679,0.08117165,5.9795938,0.8267822,-0.50094485
143,2016-04-08 00:02:23,-0.120521545,0.18221062,0.7124757,-0.0601879,-0.08367897,0.10577835,5.7779202,0.725068,-0.376598
144,2016-04-08 00:02:24,-0.11326294,0.18137713,0.72066915,-0.036761872,-0.078547046,0.1026388,5.568488,0.5200006,-0.41488206
145,2016-04-08 00:02:25,-0.10585203,0.18100384,0.7356934,-0.016315833,-0.073196135,0.10701828,5.3514767,0.26564893,-0.44095302
146,2016-04-08 00:02:26,-0.098351575,0.1808063,0.74461377,-0.008525307,-0.06782573,0.10740782,5.127121,0.06851536,-0.49509513
147,2016-04-08 00:02:27,-0.09070311,0.18059829,0.7590656,-0.00899172,-0.062103342,0.11444771,4.8957148,-0.15604556,-0.506618
148,2016-04-08 00:02:28,-0.08306217,0.17979914,0.75718355,-0.03524723,-0.055269137,0.13668416,4.65761,-0.4210318,-0.43487775
149,2016-04-08 00:02:29,-0.07538585,0.17840059,0.7607461,-0.061917912,-0.04845922,0.13619822,4.413216,-0.5340749,-0.49370825
150,2016-04-08 00:02:30,-0.06767607,0.17640267,0.76410663,-0.08858854,-0.04167223,0.13573965,4.1629972,-0.6442822,-0.55398333
151,2016-04-08 00:02:31,-0.059979152,0.17380887,0.76172155,-0.11507853,-0.033795528,0.15753378,3.9074728,-0.7488023,-0.53536856
152,2016-04-08 00:02:32,-0.052289773,0.17062384,0.76004016,-0.14138095,-0.025008416,0.1757423,3.6472096,-0.71061885,-0.48146307
153,2016-04-08 00:02:33,-0.044573307,0.16683985,0.762771,-0.16805412,-0.016239963,0.17536876,3.3828208,-0.68279123,-0.5797405
154,2016-04-08 00:02:34,-0.036866665,0.1624559,0.7609114,-0.19476295,-0.0066130976,0.19253747,3.1149576,-0.6983483,-0.66567683
155,2016-04-08 00:02:35,-0.029186536,0.15747479,0.7570258,-0.22136663,0.0042362153,0.21698591,2.8443048,-0.68894553,-0.9359686
156,2016-04-08 00:02:36,-0.02154789,0.15190545,0.75131875,-0.24760729,0.016629215,0.24785993,2.5715733,-0.90245736,-1.0
157,2016-04-08 00:02:37,-0.013979435,0.14573,0.7420447,-0.27469417,0.031240469,0.29222494,2.2974916,-1.0,-1.0
158,2016-04-08 00:02:38,-0.006473827,0.13895646,0.7337717,-0.3014774,0.047824513,0.33168086,2.0227997,-1.0,-1.0
159,2016-04-08 00:02:39,0.0009685516,0.1315698,0.72550285,-0.32899925,0.06635039,0.37051737,1.7482399,-0.96634567,-1.0
160,2016-04-08 00:02:40,0.008350372,0.123591624,0.71764624,-0.3556198,0.08667408,0.40647373,1.4745498,-0.75588894,-1.0
161,2016-04-08 00:02:41,0.015671063,0.11500147,0.709783,-0.3832247,0.10878353,0.4421888,1.2024541,-0.65013576,-1.0
162,2016-04-08 00:02:42,0.022939395,0.10580071,0.7030658,-0.41082537,0.13241221,0.4725737,0.9326577,-0.4409942,-0.8399595
163,2016-04-08 00:02:43,0.030159283,0.09599799,0.69695675,-0.43809015,0.15738498,0.49945527,0.6658393,-0.30679545,-0.5311649
164,2016-04-08 00:02:44,0.037349414,0.0855996,0.693264,-0.46507767,0.18316731,0.51564664,0.40264532,-0.2027244,-0.27529347
165,2016-04-08 00:02:45,0.04453964,0.074609905,0.6933942,-0.49179924,0.20894767,0.5156075,0.14368455,-0.037649244,-0.22298013
166,2016-04-08 00:02:46,0.051727675,0.06302892,0.69332135,-0.51852053,0.23472746,0.51559573,-0.110475585,0.19039187,-0.116109595
167,2016-04-08 00:02:47,0.058789827,0.05128835,0.681118,-0.52600974,0.26027024,0.5108558,-0.35931268,0.5037141,0.07795335
168,2016-04-08 00:02:48,0.06574144,0.03980306,0.6700333,-0.51512676,0.28602123,0.5150201,-0.60235167,0.5037141,0.07795335
